id;inreplyto;name;userid;emailaddress;datetime;topic;subject;comment;spamscore;votes
1102;0;Donald Erie;derie;don@example.com;09:04:00;delivery;ny rapport;Tack! Bra jobbat!;10;3
1103;0;Jake Bering;jakeb;jake.bering@example.com;09:37:00;delivery;leveranstid;Fint :);5;10
1104;0;Ann Huron;annh;ahuron@example.com;10:11:00;delivery;Vad händer?;Det är katastrof. Den sämsta leveransen någonsin. Mycket missnöjd med bemötande och leverans.;15;2
1105;1103;David Columbia;davidc;davidc78@example.com;10:15:00;delivery;driftsättning;återkommer efter påsk med validering;5;0
1106;0;Maria Michigan;mariam;maria@example.com;10:44:00;delivery;uppdatera rapport;tack för snabbt svar;30;1
1107;0;Juan Brazos;juanm;juan1@example.com;11:01:00;delivery;ny kolumn;Helt ok leverans. Ses efter jul.;12;8
1115;1110;Jake Bering;jakeb;jake.bering@example.com;15:33:00;errorReport;Leverans;VARFÖR kan inte göra något rätt!! Det är var bedrövligt. Vi kan inte använda detta.;49;12
1118;0;Wen Niagara;wenn;wen@example.com;16:19:00;techsupport;Re: error;Jag hatar er! Ni är vidriga! Ni är världens SÄMSTA företag! Leveransen var totalt oduglig! Grejen vi fick var helt misslyckad!!;20;2
1119;1109;Susan Colorado;susanc;suecol@example.com;16:47:00;techsupport;Leverans;Underbart, den bästa leverans jag någonsin fått. Tack!;9;0
1120;1117;Jake Bering;jakeb;jake.bering@example.com;17:12:00;techsupport;Leverans;När blir felet fixat? Vi har väntat allt för länge. Detta innebär stora problem för oss. Inte bra!;14;3
1121;0;Riya Champlain;riyac;riya@example.com;18:49:00;techsupport;Leverans;Den sämsta leveransen någonsin! Så besviken! Skärp er!;35;19
